"new_date","Crimes","Location.Description","Beat","Ward","Community.Area","Holiday","feelslikemax","feelslikemin","dew","humidity","precip","snow","snowdepth","windgust","windspeed","cloudcover","visibility","isFullMoon","weekend"
2014-12-15,51,"SIDEWALK","1112","28","27",0,5.6,2.9,6.3,92.3,2.188,0,0,1,23,100,5,0,0
2014-12-16,54,"STREET","1115","28","27",0,6.7,-6.6,2.8,86.5,0.81,0,0,1,29.3,100,9.9,0,0
2014-12-17,71,"STREET","1113","28","26",0,-6.4,-10,-7.8,69,0,0,0,1,23.8,98.3,16,0,0
2014-12-18,50,"SIDEWALK","1133","28","27",0,-3.9,-9.3,-8.1,69.2,0,0,0,0,12.1,87.7,15.9,0,0
2014-12-19,53,"STREET","1122","28","26",0,0.2,-6.3,-5.4,71.2,0,0,0,0,13.2,100,15.4,0,1
2014-12-20,61,"SIDEWALK","1113","28","26",0,-0.7,-3.8,-4.1,74.1,0,0,0,0,14.1,100,14.4,0,1
2014-12-21,45,"STREET","1133","28","27",0,-0.9,-3.9,-2.4,75.5,0,0,0,1,22.2,97.5,14.6,0,1
2014-12-22,39,"SIDEWALK","1134","24","27",0,1.7,-5,0,85.1,8.895,0,0,1,23.9,93.6,8.7,0,0
2014-12-23,50,"SIDEWALK","1134","28","27",0,6.6,2.2,4.1,80.3,3.95,0,0,1,30.8,84.3,13.2,0,0
2014-12-24,41,"APARTMENT","1112","28","23",0,4.5,-2,1.3,82.1,1.798,0,0,1,23.6,100,15.3,0,0
2014-12-25,28,"RESIDENCE","1133","28","26",1,2.8,-4,-0.6,74.3,0,0,0,1,28.3,86.8,16,0,0
2014-12-26,56,"SIDEWALK","1133","28","26",0,10.1,-1.6,2.4,75.2,0,0,0,1,22.9,66.2,16,0,1
2014-12-27,70,"STREET","1133","28","26",0,6.1,-4.7,2.3,80.7,0,0,0,1,30.8,99.3,14.5,0,1
2014-12-28,68,"SIDEWALK","1122","28","26",0,-2.6,-9.1,-7.6,65.5,0,0,0,0,20.1,45.5,16,0,1
2014-12-29,44,"SIDEWALK","1135","OTHER","27",0,-5.4,-11,-7.7,67.4,0,0,0,0,19.7,71.7,16,0,0
2014-12-30,49,"SIDEWALK","1122","28","23",0,-11.9,-19.9,-17.2,52.3,0,0,0,1,20.5,35,16,0,0
2014-12-31,35,"RESIDENCE","1122","28","26",0,-15.3,-24.3,-19,50.6,0,0,0,1,31.7,11.9,16,0,0
